pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-0003,JAFF-0001,Akan-Mashu,Hokkaido,JP-HK,National Park,104,阿寒摩周国立公園,43.436221,144.102501
JA-0025,JAFF-0002,Ashizuri-Uwakai,"Ehime,Kochi","JP-EH,JP-KC",National Park,16,足摺宇和海国立公園,32.779142,132.979137
JA-0028,JAFF-0003,Aso-Kuju,"Kumamoto,Oita","JP-KM,JP-OT",National Park,67,阿蘇くじゅう国立公園,32.949937,131.086471
JA-0009,JAFF-0004,Bandai-Asahi,Fukushima,JP-FS,National Park,78,磐梯朝日国立公園（磐梯）,37.691065,140.126724
JA-0014,JAFF-0005,Chichibu-Tama-Kai,"Nagano,Saitama,Tokyo,Yamanashi","JP-NN,JP-ST,JP-TK,JP-YN",National Park,125,秩父多摩甲斐国立公園,35.859261,138.863468
JA-0017,JAFF-0006,Chubusangaku,"Gifu,Niigata,Nagano,Toyama","JP-GF,JP-NI,JP-NN,JP-TY",National Park,174,中部山岳国立公園,36.448973,137.622264
JA-0024,JAFF-0007,Daisen-Oki,"Okayama,Shimane,Tottori","JP-OY,JP-SM,JP-TT",National Park,21,大山隠岐国立公園（大山ほか本州）,35.407228,133.543038
JA-0005,JAFF-0008,Daisetsuzan,Hokkaido,JP-HK,National Park,251,大雪山国立公園,43.519375,142.974701
JA-0016,JAFF-0009,Fuji-Hakone-Izu,Yamanashi,JP-YN,National Park,60,富士箱根伊豆国立公園（富士）,35.372908,138.673897
JA-0018,JAFF-0010,Hakusan,"Fukui,Gifu,Ishikawa,Toyama","JP-FI,JP-GF,JP-IS,JP-TY",National Park,47,白山国立公園,36.157856,136.765418
JA-0034,JAFF-0011,Iriomote-Ishigaki,Okinawa,JP-ON,National Park,35,西表石垣国立公園,24.481851,124.237711
JA-0020,JAFF-0012,Ise-Shima,Mie,JP-ME,National Park,73,伊勢志摩国立公園,34.426027,136.801594
JA-0012,JAFF-0013,Joshinetsu Kogen,"Gumma,Nagano,Niigata","JP-GM,JP-NN,JP-NI",National Park,149,上信越高原国立公園,36.691899,138.518845
JA-0029,JAFF-0014,Kirishima-Kinkowan,"Kagoshima,Miyazaki","JP-KS,JP-MZ",National Park,22,霧島錦江湾国立公園,31.921053,130.876712
JA-0004,JAFF-0015,Kushiroshitsugen,Hokkaido,JP-HK,National Park,29,釧路湿原国立公園,43.138287,144.445417
JA-0019,JAFF-0016,Minami Alps,"Nagano,Shizuoka,Yamanashi","JP-NN,JP-SZ,JP-YN",National Park,35,南アルプス国立公園,35.642147,138.217122
JA-0010,JAFF-0017,Nikko,"Fukushima,Gunma,Tochigi","JP-FS,JP-GM,JP-TC",National Park,98,日光国立公園,36.876297,139.46405
